Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2021-02-01,18655,59.4,59.0,58.54,62.09,1480954
2021-02-02,3589,60.7,59.89,59.89,63.75,1080403
2021-02-03,3803,62.14,63.15,60.62,63.23,1110515
2021-02-04,3453,60.23,60.51,60.23,63.06,1358644
2021-02-05,3398,61.66,61.35,61.35,61.89,1114390
2021-02-08,1827,62.2,61.26,60.98,62.98,1279148
2021-02-09,2618,61.37,62.43,61.31,62.43,1886553
2021-02-10,1027,61.91,61.38,61.38,62.44,1828078
2021-02-11,69143,59.42,61.11,58.26,61.11,5343173
2021-02-12,691,60.72,60.02,58.82,60.72,2696435
2021-02-16,382734,61.9,59.62,59.62,61.95,1705316
2021-02-18,942,62.19,59.81,59.07,63.29,1366153
2021-02-22,13233,61.21,62.39,61.21,64.22,1262255
2021-02-23,14277,61.3,63.92,61.3,63.92,1226943
2021-02-24,8354,63.79,60.15,60.15,63.79,1094626
2021-02-26,617,60.67,62.75,60.67,63.39,1909099
2021-03-01,7182,63.88,63.3,62.112,63.88,990129
2021-03-02,293558,63.45,62.45,62.45,66.0,3416492
2021-03-03,137925,64.1,63.37,62.51,66.12,3115418
2021-03-05,80016,62.48,65.31,61.66,65.82,2761021
2021-03-08,10,67.0,64.87,64.17,67.52,3742406
2021-03-09,4450,66.45,67.53,65.54,67.53,1897189
2021-03-11,3829,64.04,64.41,64.04,67.39,1141974
2021-03-15,18706,66.0,65.82,64.0,66.0,1550272
2021-03-16,16572,66.55,65.3,63.68,67.1,1208534
2021-03-18,19,65.0,65.29,65.0,67.13,723002
2021-03-22,113,65.56,64.8,64.8,66.932,3079311
2021-03-23,6631,66.36,64.4,64.4,66.69,1597736
2021-03-24,1263,67.1,67.064,65.6,67.254,1512970
2021-03-25,46668,67.42,66.58,66.58,68.35,1343012
2021-03-29,216,68.6,70.0,66.83,70.0,2489483
2021-03-30,19769,68.23,69.27,67.7,69.27,1215856
2021-03-31,21200,67.0,66.8,66.8,68.36,1227017
2021-04-01,9219,66.78,68.23,66.32,68.23,1158058
2021-04-06,3971,66.04,68.06,65.59,69.6,724994
2021-04-09,123,69.7,67.71,67.571,69.7,870578
2021-04-14,405,68.78,68.87,68.05,68.87,1067446
2021-04-15,39878,65.92,66.99,65.92,68.5,991971
2021-04-16,133043,69.26,66.14,65.94,69.26,1465325
2021-04-19,368271,67.45,67.35,67.35,68.16,1034660
2021-04-20,207165,66.23,69.26,65.95,69.26,2503280
