Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2021-02-03,37796,12.0,11.99,11.42,12.65,52381868
2021-02-04,151931,12.19,12.36,11.68,12.975,34686101
2021-02-05,159942,13.6,12.41,12.07,13.91,44660636
2021-02-08,245711,14.14,14.23,13.5,14.88,37470542
2021-02-09,17081,13.63,14.0,13.06,14.22,24038884
2021-02-10,100,13.4,13.6,13.03,13.98,28544019
2021-02-11,37,12.77,13.08,12.519,13.56,22965289
2021-02-12,132467,13.51,12.54,12.34,13.634,18830839
2021-02-16,131901,12.8,13.71,12.47,13.71,25584213
2021-02-17,49989,11.74,12.2,11.24,12.2,26901369
2021-02-18,54024,11.36,11.08,10.8,11.81,19687258
2021-02-19,7071,10.9,11.06,10.9,11.38,20907592
2021-02-22,91531,11.2,10.75,10.75,11.79,22124444
2021-02-23,134797,10.7,10.58,9.82,10.92,27656744
2021-02-24,2870,11.82,10.47,10.4386,12.09,42308586
2021-02-25,97008,10.71,12.4,10.44,12.45,46371266
2021-02-26,250235,10.48,10.63,10.19,11.2,23205368
2021-03-01,591009,11.37,10.41,10.41,11.68,26109336
2021-03-02,53441,11.0,10.9,10.69,11.35,12877336
2021-03-03,290480,10.28,10.84,10.28,11.2068,15258171
2021-03-04,268312,10.3,10.14,9.77,10.68,26269467
2021-03-05,25810,9.5,10.2,8.9,10.2,24282586
2021-03-08,14084,9.93,9.8,9.3415,10.5,16905465
2021-03-09,43087,10.85,10.25,10.25,10.88,22177759
2021-03-10,129868,10.8,11.04,10.16,11.24,24790962
2021-03-11,581657,11.1,10.75,10.4802,11.1,12365056
2021-03-12,498689,11.87,10.49,10.49,12.37,26521460
2021-03-15,103863,12.12,12.17,11.63,12.906,25942332
2021-03-16,102754,11.55,12.31,11.55,12.31,20029949
2021-03-17,61040,11.6,11.44,11.44,12.17,10129435
2021-03-18,33545,10.98,11.88,10.98,11.88,11669025
2021-03-19,34164,11.06,10.84,10.84,11.23,10730043
2021-03-22,71115,11.06,11.0,10.82,11.44,7997868
2021-03-23,35939,10.4,10.78,10.04,11.12,12522412
2021-03-24,139150,9.96,10.64,9.564,10.64,13088496
2021-03-26,17918,9.98,10.17,9.69,10.17,13215246
2021-03-29,41164,9.4,9.83,9.1731,9.84,13972559
2021-03-30,90357,9.65,9.08,9.08,9.65,17856896
2021-03-31,1102309,8.82,8.81,8.56,9.15,33165554
2021-04-01,20681,8.7,8.79,8.6,9.0,15277546
2021-04-05,18993,9.6,9.01,8.76,9.6,18924989
2021-04-06,140584,9.21,9.2,9.2,9.68,10158028
2021-04-07,141710,9.3,9.62,8.99,9.84,16317725
2021-04-08,6486,9.55,9.14,9.14,9.97,11471605
2021-04-09,48457,9.27,9.41,9.1,9.57,6851967
2021-04-12,112741,9.11,9.3,9.11,9.4,6661162
2021-04-13,166244,9.2,9.08,9.08,9.582,6913627
2021-04-14,150505,9.0,9.13,9.0,9.73,8033657
2021-04-15,9300,8.94,9.4,8.94,9.4,8660169
2021-04-16,53105,9.1,9.05,8.8,9.1208,7607336
2021-04-19,21104,8.92,8.7,8.56,8.92,6648876
2021-04-20,410849,8.23,8.66,8.18,8.9,12773842
2021-04-21,35089,8.74,8.16,8.16,8.86,9355986
2021-04-22,199883,8.76,8.86,8.76,9.39,8987552
2021-04-23,258284,9.1,8.76,8.74,9.1,5498265
2021-04-26,14682,9.1,9.24,9.06,9.35,8437161
